aX,aY,aZ,gX,gY,gZ
0.465,0.942,0.218,-6.531,9.277,-53.467
0.434,0.939,0.180,-3.418,14.893,-60.120
0.400,0.948,0.132,-0.244,19.897,-65.857
0.383,0.984,0.100,0.610,22.888,-67.505
0.380,1.027,0.090,-1.587,24.109,-64.392
0.392,1.068,0.104,-6.409,25.635,-59.082
0.436,1.104,0.135,-11.963,30.334,-51.941
0.486,1.116,0.159,-16.296,35.645,-47.241
0.538,1.118,0.153,-18.921,42.786,-44.189
0.568,1.100,0.132,-17.456,49.377,-45.166
0.585,1.093,0.105,-14.099,51.758,-51.208
0.592,1.089,0.084,-11.597,51.392,-58.594
0.564,1.077,0.080,-11.597,50.354,-65.491
0.516,1.058,0.094,-15.259,49.988,-68.970
0.479,1.054,0.111,-20.142,52.185,-67.749
0.446,1.051,0.096,-22.339,56.152,-63.965
0.487,1.015,0.052,-19.165,60.852,-61.157
0.565,0.959,0.006,-12.573,61.951,-63.843
0.613,0.921,-0.000,-8.179,57.556,-75.073
0.618,0.865,0.012,-5.188,50.232,-91.309
0.580,0.813,0.038,-3.052,41.321,-107.727
0.508,0.797,0.069,-0.671,33.875,-117.676
0.419,0.803,0.052,6.165,32.104,-117.065
0.371,0.793,-0.043,19.897,37.537,-108.398
0.399,0.777,-0.160,31.921,45.288,-96.130
0.474,0.775,-0.244,35.034,48.523,-83.679
0.543,0.776,-0.289,29.358,47.119,-73.914
0.589,0.788,-0.274,17.761,42.542,-67.322
0.639,0.811,-0.199,4.272,36.987,-62.317
0.668,0.810,-0.137,-4.578,34.790,-56.396
0.711,0.800,-0.094,-8.423,34.973,-50.903
0.737,0.766,-0.073,-8.179,36.499,-47.180
0.746,0.732,-0.081,-5.249,39.063,-46.997
0.714,0.716,-0.106,0.244,43.213,-48.340
0.637,0.721,-0.138,5.554,46.692,-49.500
0.585,0.737,-0.192,12.451,48.767,-48.462
0.555,0.748,-0.231,18.677,48.340,-46.570
0.523,0.785,-0.261,17.822,45.044,-38.330
0.517,0.806,-0.292,13.489,43.335,-28.625
0.538,0.815,-0.320,4.822,45.105,-20.996
0.577,0.808,-0.329,-5.615,47.791,-16.052
0.623,0.786,-0.312,-14.648,49.744,-13.977
0.646,0.768,-0.288,-19.897,49.500,-18.005
0.657,0.750,-0.260,-20.447,44.739,-28.442
0.649,0.731,-0.244,-17.334,37.231,-41.992
0.627,0.715,-0.239,-13.428,30.945,-55.115
0.594,0.701,-0.240,-10.132,27.649,-64.636
0.573,0.681,-0.239,-7.568,26.306,-68.787
0.555,0.655,-0.261,-6.836,26.001,-67.871
0.570,0.651,-0.253,-9.583,24.902,-58.777
0.580,0.645,-0.226,-13.184,22.217,-46.204
0.612,0.644,-0.204,-17.700,23.499,-34.851
0.652,0.656,-0.189,-21.423,29.114,-25.818
0.671,0.666,-0.182,-23.560,35.339,-18.005
0.675,0.665,-0.192,-23.193,40.161,-13.550
0.680,0.664,-0.211,-21.790,42.542,-12.390
0.696,0.667,-0.223,-20.691,41.992,-12.451
0.702,0.662,-0.232,-20.386,39.246,-11.963
0.700,0.647,-0.243,-19.775,37.476,-11.597
0.693,0.641,-0.252,-20.020,37.842,-11.353
0.695,0.648,-0.248,-20.691,38.574,-10.315
0.088,-0.160,-2.649,172.241,-13.184,29.297
-0.048,-0.208,-2.991,199.707,-13.550,23.682
-0.234,-0.195,-3.241,209.045,-28.870,9.888
-0.588,-0.140,-3.331,203.552,-66.223,-14.099
-1.099,-0.045,-3.360,191.345,-116.699,-45.837
-1.578,-0.006,-3.335,181.458,-172.668,-75.745
-2.152,0.062,-3.210,159.119,-237.732,-83.984
-2.649,0.176,-2.810,109.558,-322.632,-55.786
-2.963,0.415,-2.092,37.292,-422.119,14.099
-3.172,0.547,-0.770,-63.232,-509.766,110.107
-3.336,0.907,1.303,-171.143,-565.796,212.769
-3.645,1.285,3.725,-208.984,-568.176,317.322
-3.590,1.656,4.000,-118.774,-503.479,421.875
-3.422,2.628,4.000,12.756,-427.185,515.503
-2.819,3.930,4.000,87.280,-386.902,598.694
-1.807,4.000,4.000,101.868,-355.408,657.288
-0.626,4.000,3.962,105.347,-313.721,682.983
0.160,4.000,3.514,86.792,-290.649,670.166
1.063,4.000,2.716,53.589,-289.246,632.935
2.424,4.000,1.557,71.533,-300.293,532.471
3.736,3.848,1.083,19.409,-326.050,352.539
4.000,2.133,1.224,-59.509,-334.656,181.030
3.719,0.769,1.745,-125.732,-274.475,52.002
2.917,-0.276,1.993,-144.470,-150.696,-34.607
1.695,-0.701,1.849,-125.122,-20.813,-97.595
0.345,-0.682,1.348,-80.994,73.730,-142.456
-0.822,-0.412,0.515,-17.761,104.370,-169.373
-1.642,-0.025,-0.357,31.555,93.384,-174.683
-1.920,0.318,-1.025,45.593,67.566,-146.545
-1.782,0.474,-1.304,27.283,38.696,-91.125
-1.308,0.517,-1.085,-7.874,8.911,-39.124
-0.794,0.518,-0.591,-36.316,-15.686,-10.559
-0.336,0.450,-0.200,-40.222,-23.987,-10.620
-0.051,0.465,0.052,-28.076,-20.813,-29.724
-0.013,0.517,0.199,-14.038,-16.663,-55.847
-0.096,0.519,0.185,0.610,-11.108,-83.008
-0.151,0.517,0.139,11.536,-7.874,-97.412
-0.199,0.452,0.096,16.541,-2.991,-96.252
-0.231,0.334,0.053,18.860,-0.427,-87.341
-0.229,0.269,0.028,18.066,-6.348,-71.228
-0.170,0.360,0.102,10.986,-14.343,-44.006
-0.039,0.480,0.194,3.357,-14.221,-10.010
0.157,0.616,0.226,2.380,-6.714,20.386
0.304,0.780,0.192,9.583,3.174,35.583
0.365,0.917,0.136,23.560,8.728,26.184
0.358,1.053,0.044,40.222,7.080,0.610
0.285,1.164,-0.055,50.476,2.258,-26.550
0.194,1.173,-0.145,52.551,1.343,-48.279
0.117,1.170,-0.176,47.424,4.700,-56.702
0.052,1.153,-0.182,33.875,13.000,-51.697
0.085,1.131,-0.133,16.663,28.076,-43.579
0.130,1.124,-0.048,5.371,37.598,-31.677
0.182,1.099,0.027,-3.784,47.058,-19.897
0.260,1.100,0.083,-11.719,56.885,-15.198
0.294,1.104,0.115,-16.052,60.791,-17.212
0.277,1.108,0.104,-15.564,58.472,-27.161
0.214,1.113,0.053,-12.207,55.725,-39.795
0.146,1.133,-0.000,-11.902,55.115,-51.147
0.081,1.153,-0.035,-14.893,53.772,-59.937
0.047,1.149,-0.035,-19.775,48.950,-64.819
0.036,1.108,-0.014,-22.766,44.495,-67.261
0.035,1.098,0.006,-24.414,42.603,-66.467
0.056,1.076,0.021,-25.574,42.542,-62.439
0.109,1.062,0.027,-26.062,44.067,-55.603
0.165,1.073,0.041,-26.489,46.326,-47.729
0.222,1.080,0.059,-25.757,49.927,-42.114
0.259,1.095,0.051,-22.766,53.772,-41.443
0.279,1.097,0.017,-18.005,56.458,-46.387
0.278,1.094,-0.026,-12.085,57.617,-55.542
0.264,1.105,-0.059,-8.240,56.580,-65.369
0.234,1.116,-0.088,-7.385,54.993,-73.181
0.200,1.131,-0.105,-9.949,52.551,-76.904
0.176,1.125,-0.104,-15.991,46.997,-78.003
0.179,1.091,-0.096,-22.400,43.091,-76.355
0.196,1.047,-0.064,-30.396,42.419,-73.059
0.215,0.990,-0.029,-37.903,44.250,-70.068
0.242,0.913,-0.013,-42.603,46.631,-67.993
0.273,0.854,-0.010,-42.603,47.241,-66.895
0.302,0.816,-0.008,-40.527,45.471,-66.895
0.315,0.806,0.001,-38.513,43.030,-66.833
0.317,0.821,0.011,-36.255,41.870,-66.589
0.320,0.856,0.004,-32.898,42.969,-65.308
0.332,0.858,-0.035,-26.978,44.922,-64.087
0.357,0.832,-0.110,-18.616,46.326,-64.331
0.366,0.812,-0.177,-12.817,45.227,-65.613
0.364,0.814,-0.216,-11.658,42.175,-66.101
0.369,0.808,-0.234,-14.832,39.673,-63.293
0.364,0.800,-0.230,-18.860,39.673,-56.030
0.352,0.820,-0.212,-22.888,42.236,-46.387
0.346,0.840,-0.197,-25.208,46.265,-36.560
0.354,0.823,-0.220,-23.254,49.500,-30.334
0.377,0.800,-0.254,-19.104,47.729,-28.809
0.401,0.793,-0.295,-14.221,41.565,-30.457
0.420,0.801,-0.334,-10.071,34.851,-33.447
0.428,0.830,-0.355,-8.911,29.358,-36.377
0.444,0.857,-0.368,-10.071,28.076,-37.109
0.434,0.872,-0.367,-15.015,30.334,-34.912
0.429,0.878,-0.352,-21.667,35.095,-31.067
0.442,0.880,-0.349,-24.902,40.222,-26.672
0.457,0.881,-0.347,-27.039,44.922,-23.071
0.492,0.895,-0.381,-27.405,47.913,-21.667
0.510,0.901,-0.397,-28.992,49.683,-24.109
0.508,0.895,-0.428,-29.724,48.889,-28.259
0.490,0.890,-0.447,-33.508,48.706,-32.471
0.461,0.870,-0.450,-39.185,47.913,-34.973
0.442,0.846,-0.435,-46.875,44.678,-34.729
0.435,0.820,-0.412,-53.345,40.161,-32.532
0.441,0.792,-0.391,-57.556,36.804,-30.945
0.468,0.755,-0.375,-58.289,33.997,-31.921
0.500,0.716,-0.365,-56.274,31.860,-35.034
0.513,0.687,-0.363,-51.392,28.870,-39.673
0.521,0.672,-0.364,-45.227,25.879,-45.044
0.524,0.667,-0.375,-39.734,24.536,-48.584
0.505,0.649,-0.401,-34.607,27.405,-50.537
0.484,0.630,-0.420,-31.189,32.227,-50.171
0.477,0.608,-0.433,-29.419,35.767,-47.424
0.472,0.592,-0.444,-28.381,35.950,-43.335
0.469,0.590,-0.449,-28.015,35.522,-38.330
0.482,0.583,-0.451,-27.344,36.804,-32.593
-0.354,-0.830,-1.883,27.832,23.621,68.848
-0.542,-1.007,-2.113,45.837,25.452,48.584
-0.821,-1.185,-2.337,60.974,18.494,25.085
-1.101,-1.391,-2.547,82.947,1.831,4.822
-1.368,-1.500,-2.702,111.633,-29.358,-6.958
-1.650,-1.489,-2.698,138.123,-74.280,-3.723
-1.910,-1.375,-2.516,155.396,-123.840,25.024
-2.096,-1.202,-2.211,157.654,-170.044,80.811
-2.240,-0.980,-1.827,156.006,-205.627,154.297
-2.385,-0.721,-1.365,156.250,-229.492,234.192
-2.446,-0.409,-0.855,158.386,-246.582,309.326
-2.365,0.006,-0.334,162.048,-257.141,376.770
-2.550,0.474,0.191,163.879,-249.512,433.228
-2.240,1.015,1.047,144.165,-243.530,464.478
-2.205,1.659,2.203,111.450,-255.859,465.454
-2.448,2.350,3.513,113.892,-274.109,425.354
-2.416,3.126,4.000,153.259,-291.870,373.840
-2.005,3.866,4.000,226.990,-305.359,391.418
-1.329,4.000,4.000,313.049,-279.419,486.450
-0.449,4.000,3.595,362.610,-187.561,598.938
-0.215,4.000,3.083,311.035,-83.313,688.232
0.783,4.000,2.011,250.488,-15.198,688.049
1.643,4.000,0.087,305.786,-12.268,564.026
2.357,4.000,-1.060,264.709,-92.590,324.707
2.253,3.154,-1.140,134.216,-184.814,60.669
1.426,1.650,-0.455,2.563,-213.196,-146.973
0.269,0.438,0.439,-83.130,-187.683,-252.502
-0.696,-0.481,0.797,-81.543,-132.446,-241.638
-1.008,-0.912,0.594,-29.236,-64.636,-147.766
-0.987,-0.761,0.391,7.812,-16.479,-26.611
-0.809,-0.277,0.286,18.921,14.404,70.190
-0.555,0.324,0.144,33.386,28.870,113.403
-0.352,0.818,-0.118,55.603,21.179,106.079
-0.189,1.050,-0.421,73.181,1.465,62.195
-0.069,1.152,-0.534,71.045,-27.527,7.629
-0.008,1.130,-0.477,45.654,-51.697,-28.137
0.025,1.063,-0.237,6.409,-56.030,-36.682
-0.004,0.922,-0.095,-23.499,-36.255,-28.992
-0.044,0.769,-0.043,-35.339,-12.207,-27.405
-0.055,0.691,0.044,-31.250,-5.920,-35.828
-0.065,0.644,0.047,-16.479,-11.292,-46.875
-0.035,0.612,0.003,-1.648,-14.648,-57.007
-0.009,0.641,0.011,6.653,-17.090,-57.861
-0.002,0.696,0.000,8.972,-15.442,-47.607
