Red,Green,Blue
0.419,0.302,0.279
0.432,0.295,0.273
0.432,0.295,0.273
0.432,0.295,0.273
0.432,0.295,0.273
0.422,0.311,0.267
0.422,0.311,0.267
0.413,0.304,0.283
0.426,0.298,0.277
0.426,0.298,0.277
0.426,0.298,0.277
0.426,0.298,0.277
0.429,0.306,0.265
0.429,0.306,0.265
0.429,0.306,0.265
0.429,0.306,0.265
0.437,0.292,0.271
0.437,0.292,0.271
0.437,0.292,0.271
0.437,0.292,0.271
0.437,0.292,0.271
0.437,0.292,0.271
0.437,0.292,0.271
0.437,0.292,0.271
0.429,0.306,0.265
0.429,0.306,0.265
0.429,0.306,0.265
0.440,0.300,0.260
0.440,0.300,0.260
0.440,0.300,0.260
0.431,0.294,0.275
0.431,0.294,0.275
0.442,0.288,0.269
0.434,0.302,0.264
0.434,0.302,0.264
0.434,0.302,0.264
0.436,0.291,0.273
0.436,0.291,0.273
0.436,0.291,0.273
0.429,0.304,0.268
0.431,0.293,0.276
0.431,0.293,0.276
0.431,0.293,0.276
0.424,0.305,0.271
0.424,0.305,0.271
0.424,0.305,0.271
0.424,0.305,0.271
0.424,0.305,0.271
0.426,0.295,0.279
0.426,0.295,0.279
0.426,0.295,0.279
0.426,0.295,0.279
0.426,0.295,0.279
0.435,0.290,0.274
0.429,0.302,0.270
0.429,0.302,0.270
0.429,0.302,0.270
0.437,0.297,0.266
0.431,0.292,0.277
0.431,0.292,0.277
0.433,0.299,0.269
0.433,0.299,0.269
0.433,0.299,0.269
0.433,0.299,0.269
0.429,0.300,0.271
0.429,0.300,0.271
0.437,0.296,0.268
0.431,0.292,0.278
0.425,0.301,0.274
0.425,0.301,0.274
0.425,0.301,0.274
0.425,0.301,0.274
0.425,0.301,0.274
0.425,0.301,0.274
0.417,0.306,0.278
0.420,0.304,0.275
0.412,0.309,0.279
0.415,0.308,0.277
0.413,0.302,0.286
0.407,0.305,0.288
0.407,0.315,0.278
0.408,0.306,0.286
0.419,0.302,0.279
0.421,0.316,0.263
0.429,0.314,0.257
0.406,0.312,0.281
0.414,0.310,0.276
0.407,0.333,0.259
0.400,0.320,0.280
0.417,0.333,0.250
0.409,0.318,0.273
0.400,0.350,0.250
0.421,0.316,0.263
0.412,0.353,0.235
0.437,0.312,0.250
0.400,0.333,0.267
0.417,0.333,0.250
0.400,0.333,0.267
0.421,0.316,0.263
0.400,0.320,0.280
0.414,0.310,0.276
0.400,0.314,0.286
0.425,0.300,0.275
0.422,0.311,0.267
0.420,0.300,0.280
0.411,0.304,0.286
0.403,0.306,0.290
0.409,0.303,0.288
0.406,0.304,0.290
0.403,0.306,0.292
0.400,0.307,0.293
0.403,0.312,0.286
0.405,0.304,0.291
0.407,0.309,0.284
0.402,0.305,0.293
0.405,0.310,0.286
0.405,0.310,0.286
0.400,0.306,0.294
0.400,0.306,0.294
0.400,0.306,0.294
0.400,0.306,0.294
0.400,0.306,0.294
0.400,0.306,0.294
0.400,0.306,0.294
0.400,0.306,0.294
0.398,0.313,0.289
0.398,0.313,0.289
0.398,0.313,0.289
0.393,0.310,0.298
0.400,0.306,0.294
0.400,0.306,0.294
0.400,0.306,0.294
0.398,0.307,0.295
0.396,0.308,0.297
0.398,0.312,0.290
0.396,0.312,0.292
0.400,0.310,0.290
0.404,0.308,0.288
0.402,0.308,0.290
0.400,0.309,0.291
0.396,0.306,0.297
0.397,0.310,0.293
0.395,0.311,0.294
0.405,0.306,0.289
0.398,0.309,0.293
0.397,0.310,0.294
0.402,0.307,0.291
0.400,0.308,0.292
0.405,0.305,0.290
0.398,0.308,0.293
0.397,0.309,0.294
0.399,0.304,0.297
0.397,0.305,0.298
0.399,0.308,0.294
0.395,0.306,0.299
0.396,0.302,0.302
0.391,0.305,0.305
0.394,0.303,0.303
0.386,0.304,0.310
0.385,0.304,0.311
0.382,0.303,0.315
0.382,0.301,0.318
0.380,0.302,0.318
0.378,0.303,0.319
0.379,0.300,0.321
