Red,Green,Blue
0.395,0.285,0.320
0.400,0.286,0.314
0.402,0.285,0.313
0.409,0.285,0.306
0.411,0.286,0.302
0.418,0.284,0.299
0.416,0.284,0.299
0.421,0.287,0.292
0.403,0.296,0.301
0.399,0.306,0.295
0.412,0.307,0.281
0.421,0.306,0.273
0.453,0.292,0.254
0.493,0.283,0.224
0.522,0.276,0.201
0.525,0.276,0.198
0.519,0.276,0.206
0.500,0.279,0.221
0.477,0.295,0.227
0.487,0.286,0.227
0.461,0.250,0.289
0.357,0.268,0.375
0.339,0.271,0.390
0.333,0.273,0.394
0.329,0.276,0.395
0.326,0.283,0.391
0.327,0.283,0.389
0.321,0.284,0.396
0.327,0.289,0.384
0.333,0.294,0.373
0.346,0.298,0.356
0.345,0.305,0.350
0.352,0.307,0.342
0.350,0.305,0.345
0.347,0.306,0.347
0.348,0.305,0.348
0.345,0.305,0.350
0.341,0.305,0.354
0.340,0.307,0.353
0.341,0.304,0.355
0.336,0.312,0.352
0.336,0.309,0.355
0.340,0.309,0.351
0.346,0.309,0.346
0.375,0.306,0.319
0.397,0.302,0.302
0.392,0.314,0.294
0.410,0.308,0.282
0.437,0.281,0.281
0.429,0.286,0.286
0.435,0.304,0.261
0.450,0.300,0.250
0.437,0.312,0.250
0.500,0.250,0.250
0.385,0.308,0.308
0.412,0.294,0.294
0.400,0.300,0.300
0.360,0.320,0.320
0.368,0.316,0.316
0.367,0.333,0.300
0.367,0.333,0.300
0.375,0.312,0.312
0.364,0.333,0.303
0.382,0.324,0.294
0.361,0.333,0.306
0.378,0.324,0.297
0.378,0.324,0.297
0.368,0.342,0.289
0.385,0.333,0.282
0.375,0.325,0.300
0.366,0.341,0.293
0.366,0.341,0.293
0.372,0.326,0.302
0.364,0.341,0.295
0.356,0.333,0.311
0.354,0.333,0.312
0.354,0.333,0.312
0.340,0.340,0.319
0.340,0.319,0.340
0.340,0.340,0.319
0.344,0.344,0.312
0.356,0.333,0.311
0.348,0.326,0.326
0.364,0.318,0.318
