aX,aY,aZ,gX,gY,gZ
-0.346,0.947,-1.371,-54.626,-5.432,-5.249
-0.362,0.927,-1.351,-57.068,-10.681,-5.981
-0.359,0.910,-1.321,-59.265,-15.564,-5.615
-0.340,0.928,-1.304,-61.707,-16.907,-2.930
-0.341,0.972,-1.307,-63.660,-12.512,1.953
-0.336,0.987,-1.335,-63.293,-5.371,7.263
-0.328,0.977,-1.395,-62.561,1.587,10.864
-0.354,0.994,-1.465,-63.416,5.005,12.207
-0.391,1.013,-1.523,-65.857,3.113,11.902
-0.398,1.005,-1.561,-69.214,-2.625,12.146
-0.371,1.012,-1.588,-74.463,-10.071,13.977
-0.340,1.051,-1.597,-81.848,-15.320,16.541
-0.309,1.084,-1.603,-90.027,-16.724,18.616
-0.280,1.105,-1.608,-96.924,-15.442,19.836
-0.266,1.120,-1.603,-103.271,-14.709,21.301
-0.255,1.138,-1.578,-108.765,-18.005,22.034
-0.230,1.149,-1.518,-115.479,-24.902,20.935
-0.212,1.148,-1.451,-121.155,-32.837,18.921
-0.219,1.139,-1.394,-125.000,-37.537,15.930
-0.240,1.123,-1.361,-127.808,-38.513,13.062
-0.255,1.103,-1.348,-129.700,-36.560,12.756
-0.248,1.103,-1.332,-131.836,-34.729,14.343
-0.221,1.102,-1.284,-136.597,-37.781,16.602
-0.196,1.091,-1.208,-140.991,-46.875,16.724
-0.182,1.060,-1.113,-143.677,-58.960,12.756
-0.170,1.001,-1.009,-144.592,-70.801,6.104
-0.150,0.952,-0.904,-145.508,-77.820,0.977
-0.136,0.918,-0.807,-147.583,-76.782,-0.427
-0.110,0.894,-0.735,-149.658,-67.993,1.038
-0.101,0.853,-0.697,-148.865,-55.420,2.136
-0.085,0.819,-0.664,-148.254,-44.983,2.441
-0.077,0.803,-0.628,-149.841,-38.879,5.066
-0.066,0.787,-0.582,-149.292,-38.025,7.568
-0.046,0.753,-0.538,-143.555,-40.222,10.620
-0.031,0.690,-0.492,-133.179,-42.908,14.771
-0.056,0.613,-0.459,-124.084,-48.523,18.860
-0.064,0.521,-0.427,-117.920,-54.138,19.165
-0.025,0.474,-0.404,-118.835,-59.265,15.930
-0.004,0.464,-0.361,-122.375,-63.660,12.817
0.012,0.435,-0.316,-122.803,-67.444,8.667
0.043,0.371,-0.300,-121.887,-70.190,2.869
0.067,0.288,-0.288,-122.375,-70.190,-2.991
0.053,0.231,-0.271,-124.268,-64.331,-8.057
0.002,0.196,-0.242,-129.028,-54.932,-10.864
-0.038,0.148,-0.190,-133.911,-43.518,-10.803
-0.037,0.078,-0.120,-136.536,-31.921,-7.751
-0.014,0.021,-0.059,-135.437,-24.048,-1.831
0.026,-0.028,-0.003,-129.456,-22.156,3.174
0.072,-0.100,0.040,-118.469,-25.452,3.845
0.099,-0.174,0.075,-106.934,-31.555,0.793
0.100,-0.254,0.107,-96.130,-38.330,-5.493
0.096,-0.330,0.140,-85.693,-43.335,-12.329
0.085,-0.391,0.164,-75.745,-45.837,-15.869
0.083,-0.440,0.186,-67.932,-43.823,-13.367
0.083,-0.486,0.183,-60.181,-36.682,-7.629
0.098,-0.516,0.173,-51.270,-25.391,-2.441
0.070,-0.585,0.110,-39.551,-11.597,3.906
0.087,-0.639,0.055,-33.813,4.211,11.169
0.083,-0.655,0.015,-29.846,14.648,19.958
0.062,-0.654,0.001,-27.954,18.372,26.001
0.076,-0.664,0.007,-25.269,16.846,29.053
0.099,-0.654,0.001,-19.836,13.855,33.203
0.116,-0.625,-0.013,-14.465,11.780,37.354
0.142,-0.603,-0.042,-9.033,11.963,38.269
0.161,-0.583,-0.095,-1.770,15.442,35.889
0.163,-0.558,-0.148,3.784,19.287,30.884
0.165,-0.558,-0.193,6.409,20.386,23.254
0.155,-0.586,-0.218,7.080,16.541,13.672
0.136,-0.614,-0.196,4.211,9.705,2.686
0.114,-0.629,-0.149,0.732,2.930,-6.897
0.091,-0.626,-0.096,1.343,-0.061,-13.855
0.084,-0.630,-0.055,6.592,1.404,-15.320
0.078,-0.635,-0.052,13.733,6.470,-11.841
0.068,-0.644,-0.067,22.034,14.954,-7.202
0.066,-0.635,-0.101,30.762,25.024,-2.747
0.048,-0.591,-0.138,37.598,33.691,4.272
0.021,-0.533,-0.161,42.053,39.124,9.277
0.020,-0.488,-0.172,46.204,42.542,11.292
0.025,-0.444,-0.185,50.781,43.762,12.756
0.019,-0.401,-0.190,53.528,42.725,13.367
0.015,-0.376,-0.195,56.152,40.894,11.780
0.021,-0.339,-0.166,58.044,39.673,9.888
0.020,-0.280,-0.141,63.232,35.339,9.399
0.019,-0.220,-0.126,69.397,30.518,7.874
0.014,-0.204,-0.132,79.163,25.146,5.493
0.013,-0.224,-0.139,88.989,21.240,3.052
-0.008,-0.245,-0.121,95.337,18.494,0.000
-0.044,-0.226,-0.080,98.511,15.869,-3.662
-0.086,-0.190,-0.036,99.854,14.404,-5.554
-0.112,-0.185,-0.005,101.746,12.756,-6.042
-0.134,-0.154,0.031,104.187,13.855,-4.761
-0.169,-0.045,0.061,106.567,15.991,-0.671
-0.200,0.066,0.053,115.051,16.663,4.150
-0.197,0.185,0.017,129.639,15.259,8.911
-0.178,0.296,-0.058,142.273,11.597,13.977
-0.169,0.366,-0.130,150.940,9.827,16.846
-0.135,0.424,-0.209,157.227,12.329,17.273
-0.111,0.509,-0.306,158.142,19.287,18.982
-0.137,0.588,-0.396,157.532,29.236,19.775
-0.147,0.679,-0.476,159.607,34.119,20.447
-0.112,0.793,-0.562,160.400,31.433,22.156
-0.092,0.844,-0.634,160.156,20.142,22.217
