aX,aY,aZ,gX,gY,gZ
0.464,0.422,1.500,-166.016,-255.615,-206.970
0.283,0.365,1.454,-142.517,-254.395,-208.008
0.073,0.315,1.325,-127.258,-243.164,-202.271
0.158,0.301,1.013,-122.559,-227.173,-186.218
0.141,0.232,1.070,-134.094,-217.896,-172.058
0.076,0.267,1.063,-131.775,-208.130,-158.691
0.008,0.138,1.049,-112.427,-181.274,-155.823
-0.046,0.258,1.028,-92.896,-149.719,-159.119
-0.007,0.221,0.926,-72.388,-132.629,-173.462
-0.151,0.238,0.872,-59.998,-146.179,-184.692
-0.271,0.292,0.839,-53.589,-176.086,-180.359
-0.385,0.295,0.649,-62.012,-197.449,-182.251
-0.265,0.316,0.623,-62.500,-173.889,-156.128
-0.161,0.194,0.765,-42.297,-142.151,-134.338
-0.135,0.051,0.774,-18.982,-109.680,-129.883
-0.035,-0.068,0.912,0.916,-79.529,-138.367
0.013,-0.058,1.027,-1.587,-66.833,-152.771
0.035,0.028,1.120,-12.573,-56.702,-158.508
0.085,0.073,1.187,-10.376,-40.405,-149.353
0.116,0.036,1.194,7.812,-22.888,-125.732
0.154,-0.079,1.210,26.001,-11.536,-98.450
0.161,-0.168,1.203,32.776,-13.977,-83.008
0.199,-0.153,1.235,27.771,-20.813,-80.322
0.279,-0.151,1.295,34.241,-24.902,-87.463
0.296,-0.095,1.310,42.908,-35.522,-96.680
0.289,-0.041,1.323,55.908,-39.734,-104.736
0.302,-0.016,1.328,72.998,-34.363,-114.746
0.279,-0.026,1.323,88.196,-26.306,-125.671
0.230,-0.053,1.304,95.825,-16.907,-131.836
0.174,-0.100,1.314,97.656,-6.897,-133.606
0.153,-0.156,1.276,97.168,-0.061,-131.653
0.130,-0.193,1.249,94.299,5.554,-127.258
0.139,-0.239,1.252,98.633,11.597,-117.981
0.123,-0.247,1.233,99.304,14.282,-106.628
0.159,-0.262,1.202,100.403,21.851,-94.788
0.237,-0.327,1.203,100.037,26.062,-87.158
0.293,-0.347,1.232,94.055,24.231,-82.703
0.297,-0.327,1.257,87.830,24.414,-78.552
0.275,-0.268,1.289,86.548,29.785,-74.341
0.266,-0.223,1.308,89.233,37.537,-71.960
0.269,-0.255,1.297,92.102,44.250,-70.862
0.271,-0.329,1.266,97.473,47.241,-66.650
0.347,-0.389,1.246,103.760,47.485,-53.223
0.371,-0.464,1.250,106.201,46.143,-42.114
0.358,-0.477,1.261,99.060,40.588,-45.288
0.325,-0.458,1.304,95.154,36.682,-48.157
0.283,-0.470,1.366,97.717,38.513,-41.992
0.233,-0.475,1.382,98.572,44.678,-34.729
0.210,-0.490,1.364,98.145,53.894,-26.855
0.214,-0.543,1.350,99.792,64.758,-15.930
0.204,-0.622,1.334,101.563,73.853,-5.798
0.187,-0.678,1.323,102.478,80.872,2.075
0.200,-0.693,1.320,102.295,84.412,7.019
0.220,-0.691,1.315,103.455,83.069,8.362
0.212,-0.691,1.284,109.680,81.848,9.399
0.197,-0.677,1.267,117.493,84.229,14.160
0.153,-0.667,1.238,125.427,89.172,17.090
0.132,-0.676,1.196,129.944,93.994,16.418
0.124,-0.698,1.148,134.460,96.436,16.113
0.096,-0.663,1.125,138.672,97.046,18.860
0.200,-0.731,1.076,148.132,99.426,24.719
0.232,-0.755,1.034,152.710,97.839,30.212
0.227,-0.755,1.021,149.048,88.928,33.997
0.191,-0.731,1.028,146.362,83.862,36.804
0.181,-0.718,1.033,147.888,84.290,38.757
0.188,-0.715,1.029,149.902,84.351,38.879
0.229,-0.709,1.042,147.766,80.322,37.537
0.279,-0.715,1.052,144.409,70.984,36.255
0.334,-0.740,1.055,144.714,59.082,35.400
0.384,-0.759,1.066,149.231,50.659,35.950
0.386,-0.752,1.062,154.541,46.265,36.743
0.346,-0.720,1.052,159.180,48.645,37.170
0.280,-0.667,1.011,162.231,56.458,38.635
0.256,-0.636,0.982,164.001,64.758,46.753
0.276,-0.638,0.919,164.795,70.496,59.753
0.317,-0.634,0.877,162.781,71.960,69.641
0.327,-0.621,0.872,160.156,70.862,70.984
0.343,-0.602,0.860,158.875,68.787,66.040
0.344,-0.583,0.825,165.100,63.782,58.716
0.318,-0.571,0.776,172.302,57.739,51.636
1.630,0.753,-0.316,17.639,-3.601,158.813
1.674,0.734,-0.345,13.062,-10.315,152.527
1.673,0.719,-0.369,7.019,-14.771,143.921
1.606,0.681,-0.377,4.456,-17.273,134.644
1.525,0.675,-0.382,4.944,-16.907,128.723
1.482,0.666,-0.368,5.676,-13.733,126.648
1.403,0.637,-0.417,9.216,-11.841,128.784
1.327,0.631,-0.476,11.536,-12.634,135.620
1.251,0.693,-0.498,9.521,-19.165,145.447
1.211,0.756,-0.489,2.441,-32.959,155.151
1.215,0.866,-0.495,-18.616,-52.856,164.490
1.216,0.806,-0.638,-60.974,-91.736,177.917
1.212,0.838,-0.716,-93.018,-114.197,181.702
1.196,0.938,-0.676,-85.632,-85.327,151.428
1.256,0.990,-0.584,-31.555,-46.082,105.408
1.275,1.018,-0.582,3.357,-20.264,74.951
1.324,1.080,-0.578,4.700,-11.963,55.420
1.350,1.083,-0.524,-2.258,-17.395,38.879
1.353,1.051,-0.496,-9.216,-35.339,22.278
1.359,1.031,-0.457,-25.391,-67.322,3.784
1.346,0.955,-0.398,-48.523,-107.727,-12.573
1.315,0.805,-0.355,-67.444,-141.785,-25.391
1.281,0.637,-0.353,-78.796,-165.466,-32.532
1.188,0.501,-0.337,-90.820,-176.575,-37.659
1.172,0.488,-0.226,-103.699,-171.997,-43.274
1.240,0.474,-0.110,-112.793,-162.537,-43.640
1.345,0.496,-0.013,-124.329,-150.818,-40.405
1.469,0.539,0.061,-132.629,-137.939,-36.133
1.569,0.568,0.110,-133.362,-125.977,-36.377
1.571,0.614,0.158,-130.066,-118.164,-45.837
1.533,0.603,0.202,-124.756,-114.441,-62.622
1.536,0.565,0.219,-118.164,-112.854,-78.247
1.579,0.499,0.215,-110.291,-113.770,-85.449
1.590,0.379,0.164,-108.582,-119.324,-86.548
1.557,0.303,0.156,-114.563,-124.451,-86.426
